"id","higher_lever_function","location","dt","quantity","description","part_no","seri_number","manufacturer","project_code"
35,=LX931EF11.G01,+LX2B5JA33,-T011,"1","SINAMICS S120 SINGLE MOTOR MODULE
S120 CHASSIS MOMO
","6SL3320-1TG41-3AA3",,Siemens,ES755-A2501
36,=LX931EF11.G01,+LX2B5JA34,-F011,"1","SENTRON MINIATURE CIRCUIT BREAKER

6A","5SY6106-7",,Siemens,ES755-A2501
37,=LX931EF11.G01,+LX2B5JA34,-T021,"1","SINAMICS S120 SINGLE MOTOR MODULE
S120 CHASSIS MOMO
","6SL3320-1TG41-3AA3",,Siemens,ES755-A2501
38,=LX931EF12.G01,+LX2B5JA35,-F011,"1","SENTRON MINIATURE CIRCUIT BREAKER

6A","5SY6106-7",,Siemens,ES755-A2501
39,=LX931EF12.G01,+LX2B5JA35,-T011,"1","SINAMICS S120 SINGLE MOTOR MODULE
S120 CHASSIS MOMO
","6SL3320-1TG35-8AA3",,Siemens,ES755-A2501
40,=LX931EF02.G01,+LX2B5JB30,-F011,"1","SENTRON MINIATURE CIRCUIT BREAKER

6A","5SY6106-7",,Siemens,ES755-A2501
41,=LX931EF02.G01,+LX2B5JB30,-R011,"1","SINAMICS LINE REACTOR
SINAMICS
","6SL3000-0EH41-4AA0",,Siemens,ES755-A2501
42,=LX931EF02.G01,+LX2B5JB30,-T011,"1","SINAMICS S120 SMART LINE MODULE
S120 CHASSIS SLM
","6SL3330-6TG41-7AA3",,Siemens,ES755-A2501
43,=LX931EF02.E01,+LX2B5JB31,-B011,"1","MCT 4.000/1A; CL. 1; 10VA; RECTANGULAR
BUSBAR TYPE CURRENT TRANSFORMER
",JP-614-4000/1A-CL1-10VA,,ILEC,ES755-A2501
44,=LX931EF02.E01,+LX2B5JB31,-B012,"1","MCT 4.000/1A; CL. 1; 10VA; RECTANGULAR
BUSBAR TYPE CURRENT TRANSFORMER
",JP-614-4000/1A-CL1-10VA,,ILEC,ES755-A2501
45,=LX931EF02.E01,+LX2B5JB31,-B013,"1","MCT 4.000/1A; CL. 1; 10VA; RECTANGULAR
BUSBAR TYPE CURRENT TRANSFORMER
",JP-614-4000/1A-CL1-10VA,,ILEC,ES755-A2501
46,=LX931EF02.E01,+LX2B5JB31,-F041,"1","DEHNGUARD FM SURGE ARRESTER

","950112",,DEHN,ES755-A2501
47,=LX931EF02.E01,+LX2B5JB31,-F041,"1","EARTHING CLIP FOR TWO-MODULE ENCLOSURES, SINGLE-PHASE, THREE-POLE

","900411",,DEHN,ES755-A2501
48,=LX931EF02.E01,+LX2B5JB31,-F042,"1","DEHNGUARD FM SURGE ARRESTER

","950112",,DEHN,ES755-A2501
49,=LX931EF02.E01,+LX2B5JB31,-F043,"1","DEHNGUARD FM SURGE ARRESTER

","950112",,DEHN,ES755-A2501
50,=LX931EF02.E01,+LX2B5JB31,-K021,"1","RIF-2-RPT-LV-230AC/4X21 - RELAY MODULE

","2903304",,Phoenix Contact,ES755-A2501
51,=LX931EF02.E0133,+LX2B5JB3133,-K02133,"1",Test mô tả,TEST,,TEST,TEST1
